,addr,amount
198,terra108lcf6tekmdml637m5rkmucsev4kfchmjclcz6,5870666047
199,terra1kgq5e58vazpjdxq6ny6s7gkd5hjp8dynah5h3w,5851084982
200,terra19jjjm68zfhx9ehwnr5lnq4ycekdfvfhprzye5a,5820194130
201,terra1gzceyhy6hrprhslrn9tjvje5s3kkrzreqemcna,5775406634
202,terra1w8p9de8du9uyp9nlf7837p3fksmft02gu3ly66,5774511086
203,terra1728mewhrfaz3rz9mtjjy07g4pm4hslal2en9zj,5754817798
204,terra140ruqkdc4j5376l5z59vsr6mxpvdmgcudkjvud,5730151758
205,terra1xmzah25gkzr6c08xdg8pcn3d79d27e9uqknxp2,5697943054
206,terra1tgvg8g2msnd8hwae7ajtq79q7w9vjm56f2r9aj,5684230294
207,terra1wk6fch34tnsvrjvramcs2l2phnhetxvh2g2cn9,5606525988
208,terra1swpjc9dhshcvlejghma676yxtrnafhhjxvwu37,5591190123
209,terra19x5va8epaesrhfycy8hnke057h876spa7mnv2n,5584151909
210,terra14h5wz3a24n406p2gzxk0l5y44p5dh2hjgyer2c,5571763391
211,terra1um277zy9yxtrwplnjxp5zjdudnup56ld05hxrr,5571763391
212,terra1h0xr8lmua7n26lyvpezlkq63ktgjtqay3pve53,5571763391
213,terra1wuy7ywvwxccmh6xc4y2j75m64wfgq4ds07qz22,5552064376
214,terra12tz3rxjnyem46h4sk4fm0y4vl00neazuyup9f2,5536433812
215,terra13m3h7m6vjxlpmhmwun0lahltfay6f38r96gqv6,5518454451
216,terra1rvfe95hn2yznmjdkn35vzl06hqyy2303y93t2q,5433694624
217,terra1x9ufa98stktkl7677q0ql8chzas7fughrn0gs7,5424925381
218,terra1rtu8kthmryaj6j8j9ruzcp74axffp8r625aml4,5410255920
219,terra1hqr5hqqnx2k46kzmk6unl0zw2a8y9c2pfsnnlc,5370301296
220,terra1sw726qakw0an4j4sv5df2jetmcz7c2ym40whpf,5351644826
221,terra1t4958rh40zxz73hegjjuatx6s5s2epcsunue8u,5342889393
222,terra1nw9m2r33s5tr23fy4e6q5fmcjzah9nzk9j7326,5296452671
223,terra1u3h0takrf0aqtjxsztktljuuglvxgsl8vd7w2h,5293213391
224,terra1l93etuzzvp47lkaytl4glhfgqury8zvstwskua,5252853054
225,terra1a9kdtzycxxmcd2heqda4ua8azvhul9yqg8jyxq,5202576860
226,terra1ar30tcuk7hxjwm0883m4r0y0g6n6yym4kjs7r7,5193237487
227,terra14n926teedzujawjy7l9ef6v42wygcmtlu8m8yy,5187556232
228,terra1zxgq3yh872uf80vhk565qt9cqn7p8fh5qf0r36,5174429978
229,terra1mgzlz9weu4h4yx0l70ncvuac8h4st2muttx9hr,5153259238
230,terra1gcwp6aq5tkq40ctfnakmnr8lx6e48tht0n0c20,5091671333
231,terra1d9hqntpzrn4e8jl5wk63artg52gu8jljpuypaa,5054254955
232,terra17xdwrhvzl3u58ht2h9csf6zkyjdppmmlggh0v4,5045240843
233,terra192d3er9qdknhq42rq9gkuwlaahkge36g9lhac7,5016398965
234,terra1pgu06pjhj9zamq0q8l8n62uv7nl6wxrh2wsggn,5012397845
235,terra1d5aadz047d2n8afee5q2dgswugvnd0h6g2340m,5005994162
236,terra1wwntl7cmt5ux27dght9mtxzh8mv28kvavtjz5d,5002293141
237,terra18dn7v4puh2t5flfvaf738qjk73jlauzhs5e5tz,5000748762
238,terra17phfdyjtsxkzzghej9xz0uqvrx03s8pvxs2558,5000266400
239,terra19ty0k0668xgpfgrme5y6y7wus3tc3pp7tc3j3y,5000165416
240,terra1gdn2k0wrp7ttgqvn4h2jhe7zgygxakmdfmah5n,5000000000
241,terra1yz0tx6ytva8frjhac66u6ks4xfku73pjwgjww2,5000000000
242,terra13d6lslceeshqwg86xcv8dnnme4r68vg86aeaqx,4977948929
243,terra1dec3xj2e7rctszahcr9ckqxc57zc0wg9k0fhhl,4929546164
244,terra132fr0934g3r5v30qqcss8cg978qzqaslcey4lm,4922697255
245,terra1lmgkm9gea8ykc5ltsvxh594u8x4q9v094whkyz,4865697488
246,terra1ld7f99zq2jtqqgjqx756fqer9zk40kugn4z4v6,4819407996
247,terra1c0jd5e6ce7exldr94ax6cau7zs7jdrfgx7yxxd,4808177235
248,terra1w49k69lsmfgdtpps0q9lm48p73sruj9g5fh8gw,4805174171
249,terra1p7s9ghdc8w3ztcx0hy477p0f974nv85et3trk5,4794811952
250,terra14mqz22wc4tv7rkvka7yprwg2v5cux74v33e7tm,4774540853
251,terra1q0nnd3zuz7aexzdmy8guv4kmc98mmjmhntjarx,4762863159
252,terra1lda5z8dpgnr4ste92j2s6504tnl4hau7prc30g,4760888022
253,terra1sgcu0qzfceas8xzs4gqevxvldwfmuk3rpcafcq,4746669329
254,terra1kcevvsajax5tv5nmd96lr4wulnska64l9ukv9y,4746481265
255,terra145c55d2vepf43hnkf84l9mz2azxwzzer2xxqaz,4737355259
256,terra1cchn3gjcys9p0v5dywsf4ekdd4x4wtxy4g6pd5,4733089533
257,terra18xzyxlmncudlkh9ujun8376fyjm3me7t32vnu6,4691981952
258,terra1405f75dqh7dq0x6a779mnts7vs7ml085zgvs43,4684497341
259,terra1qtzt7kvnc5gl6lpzessvm9rrsh7fj8kqua8fe9,4643364313
260,terra10ygfsxp33gcj89qg36vvfp8r64qvjkjp96a7sp,4629425209
261,terra1dd3s0t9h20nph8u0t7rl5ps74lh2q6x8evwr3q,4611588627
262,terra17zcn2d2uarvzr47rpgj3r8kg28qne9akh702nd,4526606838
263,terra19fdmq8mypcvc5jrrmd2elaz87svsu8877y2qfv,4510824854
264,terra1f6ghhk4lv6dszsthq577tlpdrwrjj8dtlr299z,4510005222
265,terra1fjquyucxhek7ut7h596mwcrhfllyr8mvurfpmx,4473176690
266,terra1h4xtl8nw84trp58pld6qp094dr7jsuj87dm73u,4416904179
267,terra1jhfe2ydslasz2q3qdefktq0658wzd87jjdu4zx,4342548826
268,terra1qd22vehf4nvjfyt8hxe9m5fuvvsqfpwvqw5rm7,4313692180
269,terra1khfylvsr93vsguwqsgjjs7pqjdm5l9lgfrnpu9,4312929327
270,terra14gugpnz9ulfupdwzd3l3l39wwyqnkqs7j92gme,4299914468
271,terra106vvdwsuu4adtam7kutzegqks2g8qz3uuwypky,4294988705
272,terra1cw3eff76ek5cug8ycj7plmu7csgzey5ugnetvg,4274373456
273,terra1yrr0hvqv5zxtf2nmzpfemcgpclw89f4057s5fy,4270040324
274,terra1vkdjeq984mr9u83g7585qtu2jzh6tt22ff8lqf,4254576128
275,terra1l29n9ghp2hu9a7xhcmh2q83jgh2244hfn6mj99,4251967920
276,terra1du7m2lcljrwj0qpa228vv58ru52cmnjg9v89mm,4199864330
277,terra13ehrnwyx9x8a477rtgerct6umts9jh5gneuh2m,4199315461
278,terra1hhuz5wan5w8c27d50fc7vt4klr2g2dmc2quurd,4198604913
279,terra16r3r54653hgxh3kdsuqfdh7u0vr7upeys88c6z,4194811616
280,terra1mrtqxga4cgyagh2s9v5ghdhq0xa2rjdf8l3hme,4122257118
281,terra1tlfv690n6nae6h9tpdzq0e28vm5uvyz59p92ug,4120020239
282,terra1c52fkk9g0ztdeupw6rrpgfdqvpn2t3nh4lv2m0,4101028564
283,terra1neghwrrx3qrw2egn5sg2gdmltdm5jaykv4ysam,4093110079
284,terra1s3whz4uv7jz985jlhvgj0emna8ypqs3swhwzds,4090720635
285,terra1uq3wwn9dm3zrnk6gzzv36grmunjdh395nvj3nr,4086998994
286,terra1chnt398q4p3sfhf6vr7s76s3n2hfp6pwlhayku,4078784518
287,terra1edf4ttq7dyfpzep9d3p25qrhelv32sjgfuer9t,4064041214
288,terra17skag8gzusyds2hexv5s85vseke0vxe7qecwmg,4022001954
289,terra1h2u58sev5xnf2l4ymlmqaz8wmjuajvna8ej9nz,4009436049
290,terra1358kzppkaerzz954na6e42nvxa8rftnkwwzyuc,4000191796
291,terra1hzkqx8vq9pqphpyc88zwggmxc0y5dppcqmgusc,4000000000
292,terra1q763a9v9dewnzxdrtek7a7mu9uwvysdqryjedd,3995306433
293,terra1a49p6c4pn3t5ut87gtwg6vw7pvwgjszagte8g8,3972795351
294,terra13dhum7u9kfu2xuapde9553sxcv7wzv3nyzttuz,3969500702
295,terra1gf564xgpph0lt8sqhrdrtkm5hmaawkf30dg8rm,3962855277
296,terra1hwn6j5x9pzmrk9revnk4dr3scp3dz6mnm3u9vq,3953116441
297,terra105x2td72hkva0xmk2s8hy54e74054aq4ksgx67,3942221297
298,terra1cjdxr8m758vnhfgjz69fhxxtcn8xzkafu7sdun,3930457897
299,terra137fzcde9narzxeqvdnl3204hexmvffvu7axus0,3929392005
300,terra1t3a79fup6wpdzjjme5l8w3rvh5pddydn2n6lrc,3925915183
301,terra1jultlfcfvn5jnrsvl9u5zej4t33fm7hnxl8l48,3888662208
302,terra1tz9w32zjwzepqeuvlraqt90j6836ar9ydkeaq4,3860110168
303,terra1ljhr99qh3qqcsxc8k6ray6uql69kpecctwxklf,3859976084
304,terra1haplw44nwttn7asv0zts97klve8kpphns62cmk,3790315507
305,terra1dgc28slhraf6qgvgac28xwr5urwmkv6tk6wmtx,3768981524
306,terra1j76whvucjujtvecn7gf6r4amx995zn7dugc6j9,3755820468
307,terra15lkfzl4p532gk65gag6vyhafm33cxhvw3xttyr,3734429035
308,terra1wef7fprchertja0uqvhfay9h0nts287e4xzv4z,3725359539
309,terra175aa0mhl0w9h7haht20mg6ymsdwrhels9v8azq,3719254498
310,terra18kfeqs0r4r9nvz04m5hsusydemnvuqxyupgwuy,3708386073
311,terra1ujf83ku9fsx5yyj3hgmr0wwpxrez79kkhtsgxw,3697014947
312,terra1l3lxj26ajvywdfdxk2rl9tfvrsmep9cf4lk8f7,3677510974
313,terra1cjwtnxjy8sx7flgncl35y78fwq7rahxyq3hr9n,3669054235
314,terra1lyctul9hfk3a3m7rl90uj02q54ydjvl44dadq6,3648921305
315,terra1xa0wp4vege2neryd3hs0pta4f0yfp2wrcu2xm6,3638225589
316,terra1356v8xnna2s05tq6tukqey3vhck8m0m9vc3t54,3631051601
317,terra15qa6888smz0l4nw9qx2r7jz9fwzp46tvzx0jml,3628483270
318,terra1ecqcf845gnjcexj6pqld4qhh2dcrfu4ryxqtsl,3595726592
319,terra1wexsgcweztjgdxufw43ug8u2n8s4xkp2sm6wz8,3590985932
320,terra1jt2jzk8f4ce9na573tkwx66aym7c38mmpcfk7m,3580625615
321,terra1rt4tuw8s7qxg24c2e00z8m8lpygeszpn5n8sch,3564767715
322,terra12m995k4re9sk7m97aqgee2jqyuwwa24gcdh7rd,3544912376
323,terra16xzqg92n37mgyfgwy4tza9qan6qmpre0ks8v4r,3519656335
324,terra1uevxg3zj74lmlxy93mcccksn7jjgnm34cj9l0n,3500467405
325,terra12hequwerhr7ydvxa737jfuuynnzvmt0zl4kd7g,3500002425
326,terra1qsl7f8e2xzw6r885w06p0fdwvtreetlzctdazn,3464451154
327,terra149amdxt2ckn5pth4vq5ar8zczqfxxk2a46fgzw,3416404436
